X1,X2,labels,IDs,Var5
0.483687609,-3.084235977,spiny mouse,480169178,
-3.037142036,-2.485268986,spiny mouse,480169202,
1.292357979,7.61285248,PV/FS,480171348,
-2.435618228,-3.282355623,spiny mouse,480171386,
1.114027238,1.527768837,SST/adap,480183339,
2.771055673,-1.386227428,SST/adap,480187546,
-2.42865822,-2.837508958,spiny mouse,480266505,
-1.400237719,-1.307614108,spiny mouse,480268803,
-2.397114206,-4.972992261,spiny mouse,480273887,
-0.910256346,-2.510569735,spiny mouse,480351780,
-1.850209602,-4.09601155,spiny mouse,480353286,
-1.99104293,-3.806687818,spiny mouse,480364000,
-0.444704714,6.719390991,PV/FS,480640846,
-0.95056368,-2.788089503,spiny mouse,480643417,
-1.535995974,-1.473586098,spiny mouse,480647923,
0.697034567,-2.410808788,spiny mouse,480648382,
0.820305464,-1.369222701,spiny mouse,480705931,
0.36156482,6.18649344,PV/FS,480714960,
0.015653367,-1.74474159,spiny mouse,480718588,
1.462473408,6.360448722,PV/FS,480735016,
-2.021243603,-2.073588205,spiny mouse,480778441,
-4.415277314,-2.475590637,spiny mouse,480792667,
-0.247679681,-3.893570363,spiny mouse,480798873,
0.287296884,7.42588095,PV/FS,480952106,
-0.621953521,6.802194382,PV/FS,480963429,
1.312443278,1.032815386,SST/adap,481001895,
3.096456317,-2.324093956,IR/VIP,481003593,
-4.767761697,-1.396732269,LS/Neurogliaform,481003643,
-4.819442421,-1.317164994,LS/Neurogliaform,481004298,
-0.02643237,6.503062708,PV/FS,481018305,
0.249828179,6.47248562,PV/FS,481049269,
-4.696200617,-2.009993768,LS/Neurogliaform,481093098,
0.303510164,7.396143827,PV/FS,481093525,
0.490355643,5.72861863,PV/FS,481099415,
1.132314318,6.794372801,PV/FS,481099785,
1.051455822,6.072413043,PV/FS,481127173,
1.191095024,5.931826039,PV/FS,481127348,
1.592183553,7.17415329,PV/FS,481127932,
0.437137442,6.440881246,PV/FS,481136138,
0.31947914,-3.335094299,LS/Neurogliaform,481136214,
2.446800255,1.100971328,IR/VIP,482435718,
-0.553422978,6.772881809,PV/FS,482444444,
-0.391212623,5.800793484,PV/FS,482491330,
4.013044921,2.545030251,SST/adap,482493761,
0.459345523,-3.051159271,LS/Neurogliaform,482511164,
4.598205381,2.143988101,IR/VIP,482516216,
1.231213372,7.498143329,PV/FS,482516713,
-0.672897758,-3.602196642,LS/Neurogliaform,482521571,
0.845571964,6.545341154,PV/FS,482644550,
2.149514852,0.559939856,IR/VIP,482645063,
1.723035887,-1.711326718,IR/VIP,482654108,
-0.609456403,6.869728067,PV/FS,482658760,
1.312365142,5.782927116,PV/FS,482690728,
0.834341051,1.828573606,SST/adap,482692974,
-1.154345577,-2.618559862,spiny mouse,482726727,
2.559395161,0.491131608,IR/VIP,482726749,
2.227190969,2.184136938,SST/adap,482735425,
2.228260991,-0.340577193,SST/adap,482744155,
3.166746464,-1.518461591,IR/VIP,482764620,
-4.842579428,-1.803960503,LS/Neurogliaform,482773968,
0.998425947,6.557771168,PV/FS,482799345,
-0.175266852,-1.690015338,spiny mouse,482809953,
0.590893347,-3.784298129,spiny mouse,482905575,
-1.174210711,-2.321859737,spiny mouse,482910438,
0.800728275,-2.101386714,spiny mouse,483018019,
2.949222678,-2.606505251,spiny mouse,483019067,
-0.598195434,-2.462751326,spiny mouse,483020137,
-2.638748119,-5.291678539,spiny mouse,483024426,
-1.221072079,-1.985089077,spiny mouse,483027960,
0.973075578,-2.219064525,spiny mouse,483057325,
-0.813723421,-3.331828287,spiny mouse,483061182,
-3.52236946,-2.36694217,spiny mouse,483068687,
1.211745106,2.127947833,SST/adap,483083617,
-1.041447757,-3.922561902,spiny mouse,483092310,
-0.727079985,-3.046994413,spiny mouse,483099796,
-0.415276824,-4.082692429,spiny mouse,483101699,
-1.880959261,-3.999728089,spiny mouse,483109334,
0.863794674,6.452635383,PV/FS,483111429,
1.484223501,1.381428889,SST/adap,484457747,
-1.378475503,-1.348958671,spiny mouse,484509440,
0.322832367,-2.669549194,spiny mouse,484515166,
-0.425620022,-3.255549158,spiny mouse,484559000,
0.969737766,-2.612812742,spiny mouse,484564503,
0.68713851,2.489527971,SST/adap,484571248,
-0.583611663,6.767439643,PV/FS,484629749,
0.958377146,1.611629923,spiny mouse,484659182,
-1.545983379,-1.94650386,spiny mouse,484679812,
-2.469278678,-4.295009223,spiny mouse,484737013,
0.582195829,6.74250727,PV/FS,484742605,
-0.730026404,-1.539088572,spiny mouse,484770879,
-0.362397809,6.810787637,PV/FS,485048967,
1.04042291,6.6437421,PV/FS,485053941,
