IDs,X1,X2,labels
320000000,-31.9038,29.98673,mouse
573000000,-36.9571,29.1145,mouse
558000000,-40.4142,29.52501,mouse
547000000,-34.7404,28.56853,mouse
589000000,-38.0336,28.74862,mouse
387000000,-39.9316,28.18641,mouse
569000000,-36.7874,28.80406,mouse
322000000,-31.3837,29.90752,mouse
481000000,-31.1018,26.7933,mouse
589000000,-31.9618,27.999,mouse
580000000,-37.171,28.00721,mouse
488000000,-38.6906,29.66875,mouse
579000000,-35.9941,28.40943,mouse
330000000,-39.8292,28.13198,mouse
485000000,-31.7553,30.07973,mouse
397000000,-37.7374,26.90396,mouse
607000000,-32.4018,30.40103,mouse
554000000,-31.6855,25.95125,mouse
570000000,-32.2159,30.58045,mouse
515000000,-36.4909,29.04522,mouse
481000000,-33.0391,30.02104,mouse
505000000,-40.7072,29.22538,mouse
520000000,-34.9822,26.28265,mouse
576000000,-35.6114,28.31837,mouse
514000000,-36.7899,28.33242,mouse
601000000,-39.8492,29.38436,mouse
519000000,-31.2498,26.72919,mouse
397000000,-31.4828,29.31178,mouse
502000000,-35.7004,28.64163,mouse
580000000,-32.5174,30.18306,mouse
480000000,-36.5781,27.07657,mouse
515000000,-38.6892,28.38729,mouse
606000000,-39.2838,28.63012,mouse
564000000,-31.5829,26.48801,mouse
487000000,-31.4182,30.27201,mouse
577000000,-32.5617,29.46926,mouse
485000000,-39.4079,29.26128,mouse
486000000,-38.7265,27.8192,mouse
322000000,-33.5715,29.56025,mouse
561000000,-38.4974,29.29117,mouse
487000000,-38.9609,27.82278,mouse
565000000,-39.8523,27.19305,mouse
490000000,-31.8742,28.94174,mouse
478000000,-38.0813,30.69515,mouse
502000000,-33.2536,26.90854,mouse
476000000,-31.6536,26.36294,mouse
563000000,-40.3394,28.98945,mouse
557000000,-35.2962,26.06818,mouse
515000000,-40.5426,29.52305,mouse
502000000,-34.7389,28.86744,mouse
502000000,-35.439,26.53939,mouse
483000000,-31.4335,30.33224,mouse
487000000,-31.7374,30.03412,mouse
501000000,-39.4989,29.18869,mouse
568000000,-32.0783,29.61368,mouse
604000000,-40.1979,27.11963,mouse
561000000,-34.952,26.72927,mouse
584000000,-33.7827,26.64748,mouse
573000000,-32.7038,30.41077,mouse
483000000,-38.8971,27.91056,mouse
515000000,-31.8434,26.34754,mouse
538000000,-31.4223,26.55557,mouse
505000000,-36.7858,26.64655,mouse
504000000,-36.5501,26.74963,mouse
562000000,-39.1173,28.08132,mouse
490000000,-38.8584,27.71374,mouse
537000000,-31.7263,26.65268,mouse
517000000,-31.8027,26.65149,mouse
397000000,-32.226,28.97154,mouse
599000000,-39.0479,28.38737,mouse
557000000,-36.7355,28.06055,mouse
574000000,-31.5548,29.09661,mouse
