cellID,Species,Sex,Cortical area,Subject ID,Dendrite type,Cortical layer,AP halfwidth,AP amplitude,Resting potential,Rheobase,Resistance,Time Constant,Maximum firing rate,Median instantanous frequency,internalID
1192200,Macaca mulatta,NA,PFC,6057,S,NA,0.8,69.55,-72.55,130,244.67,17.38,39,34.78,M02_SM_A2_C04
6806172,Macaca fascicularis,NA,PFC,2029,NA,3,0.5,61.25,-62.68,90,292.29,17.43,76,68.61,M08_JS_A1_C01
2649538,Macaca fascicularis,NA,PFC,3167,NA,NA,1.2,67.78,-76.51,160,166.51,17.45,2,17.09,M10_JS_A1_C07
6160507,Macaca mulatta,NA,PFC,1288,NA,NA,1,54.88,-61.03,90,302.76,17.6,3,80.65,M01_JS_B3_C21
7256120,Macaca fascicularis,NA,PFC,2719,NA,NA,0.4,43.84,-61.67,90,406.5,17.6,166,143.88,M03_JS_A1_C03
7768236,Macaca fascicularis,NA,V1,7400,,,0.75,67.75,-73.21,50,268.68,17.67,6,55.4,M19_JS_A1_C04
6569110,Macaca fascicularis,NA,PFC,3167,S,4,1.15,59.78,-71.25,70,298.42,17.7,2,39.53,M10_JS_A1_C30
2402289,Macaca mulatta,NA,V1,8277,,,0.45,71.32,-68.12,50,321.08,17.77,53,64.52,M20_SA_A1_C06
1821560,Macaca fascicularis,NA,PFC,2719,S,3,1.1,86.79,-69.79,150,109.82,17.87,1,NaN,M03_MW_A1_C10
5857796,Macaca mulatta,NA,LIP,7812,A,5_6,0.6,55.48,-68.36,100,189.74,17.98,139,149.25,M12_JS_A1_C12
8607655,Callithrix jacchus,M,PFC,3871,,,0.72,84.23,-64.64,60,148.66,17.99,26,21.48,A12_MM_A4_C07
1875303,Macaca fascicularis,NA,PFC,2719,A,4,1.15,64.45,-57.54,90,226.49,18,2,38.61,M03_SM_A1_C12
6406733,Macaca fascicularis,NA,V1,7400,,,0.45,36.65,-76.75,150,219.42,18,13,21.72,M19_SA_A1_C10
9372550,Macaca fascicularis,NA,PFC,3167,NA,NA,1.1,63.54,-62.02,310,78.16,18.03,1,NaN,M10_SA_A1_C15
4206621,Macaca mulatta,NA,V1,8277,,,0.5,48.46,-70.18,70,275.95,18.1,143,126.58,M20_SA_A1_C09
2257778,Callithrix jacchus,F,PFC,2048,,,1.3,94.85,-71.46,190,85.65,18.11,8,16.11,A13_MM_A6_C07
2931813,Callithrix jacchus,M,PFC,5627,,,0.48,65.43,-64.96,16,294.72,18.13,11,58.89,A09_MM_A1_C05
3315344,Macaca mulatta,NA,PFC,1288,A,3,0.5,61.76,-62.73,250,401.88,18.3,179,166.67,M01_MW_D5_C14
4285879,Macaca mulatta,NA,PFC,6057,NA,NA,0.85,74.25,-69.87,150,430.43,18.33,51,42.83,M02_SM_A4_C08
5205007,Callithrix jacchus,F,PFC,2048,,,0.8,84.84,-72.33,110,137.08,18.34,5,24.31,A13_MM_A5_C06
2743813,Callithrix jacchus,F,V1,2795,,,1.2,88.5,-73.27,150,92,18.47,3,18.58,A11_MM_A1_C09
3692362,Callithrix jacchus,F,PFC,2048,,,0.76,87.95,-78.62,70,169.75,18.47,4,27.26,A13_MM_B1_C08
8006568,Macaca fascicularis,NA,PFC,8251,NA,NA,1,50.69,-57.03,30,394.98,18.47,3,476.19,M06_SM_A1_C07
6219221,Macaca mulatta,NA,PFC,1288,NA,NA,0.7,72.49,-61.17,50,235.83,18.53,104,85.84,M01_CN_A5_C13
1530562,Macaca mulatta,NA,V1,8277,,,0.9,60.94,-68.83,50,668.36,18.67,13,50.76,M20_SA_A1_C07
5547184,Macaca fascicularis,NA,PFC,3167,A,NA,1,56.79,-76.24,90,191.63,18.72,6,32.41,M10_JS_A1_C08
8348086,Macaca fascicularis,NA,PFC,6893,A,5_6,0.95,72.14,-65.76,50,507.87,18.75,3,74.63,M05_JS_A1_C09
2081506,Macaca mulatta,NA,PFC,1288,NA,NA,0.4,42.14,-67.27,110,357.15,18.87,181,163.93,M01_CN_A5_C14
4461307,Macaca mulatta,NA,PFC,1288,NA,NA,0.4,42.14,-67.27,110,357.15,18.87,181,163.93,M01_SM_A1_C03
8590892,Callithrix jacchus,M,PFC,5627,,,1.16,93.14,-75.91,90,127.46,18.92,13,12.43,A09_SA_A1_C01
3663241,Macaca mulatta,NA,PFC,6057,NA,NA,0.4,63.39,-62.69,90,382.95,19.03,156,130.72,M02_JS_D6_C02
6780595,Macaca fascicularis,NA,PFC,2719,A,4,0.65,55.05,-54.61,30,449.98,19.03,107,98.52,M03_MW_A1_C02
8930506,Macaca fascicularis,NA,PFC,2719,S,2,0.4,48.33,-60.91,110,289.94,19.27,2,103.09,M03_SM_A1_C13
3128918,Macaca mulatta,NA,PFC,1288,A,3,0.8,48.71,-58.77,110,252.59,19.37,13,124.22,M01_CN_A1_C02
5010892,Macaca fascicularis,NA,PFC,2719,NA,NA,1.4,91.14,-65.15,90,215.7,19.47,13,10.55,M03_MW_A1_C16
3066519,Macaca mulatta,NA,PFC,6057,NA,NA,1.9,50.17,-62.03,110,120.68,19.52,2,18.96,M02_MW_D5_C10
3016777,Callithrix jacchus,F,PFC,2048,,,0.98,88.26,-78.77,110,116.65,19.56,19,15.71,A13_MM_A1_C01
5320765,Macaca fascicularis,NA,PFC,6893,NA,NA,0.55,62.38,-66.74,70,349.36,19.68,90,103.09,M05_JS_A1_C06
9355033,Macaca fascicularis,NA,PFC,1680,NA,NA,1.2,71.21,-69.31,20,527.03,19.73,33,26.92,M04_JS_A1_C15
6895102,Macaca fascicularis,NA,PFC,2719,S,3,0.9,89.53,-66.37,90,425.65,20.12,8,21.39,M03_MW_A1_C09
2627090,Macaca fascicularis,NA,PFC,1680,S,3,0.9,68.28,-67.63,70,396.31,20.15,1,NaN,M04_JS_A1_C09
9355943,Macaca fascicularis,NA,PFC,2719,S,NA,0.65,72.96,-66.49,90,258.35,20.2,2,84.03,M03_SM_A1_C16
6819623,Macaca fascicularis,NA,PFC,3167,NA,NA,1.1,70.53,-54.06,140,357.06,20.2,5,32,M10_JS_A1_C27
3137898,Macaca fascicularis,NA,PFC,2029,NA,NA,0.55,60.67,-73.03,70,403.37,20.28,108,92.17,M08_JS_A1_C14
7748799,Callithrix jacchus,M,V1,6535,,,0.7,75.71,-68.62,170,206.49,20.52,1,NaN,A10_MM_A1_C02
8202874,Callithrix jacchus,M,PFC,5627,,,0.44,74.13,-64.98,4,288.54,20.9,6,8.57,A09_MM_A1_C04
8870939,Macaca fascicularis,NA,PFC,1680,NA,NA,0.45,65.98,-56.66,150,327.55,20.95,146,141.84,M04_JS_A1_C03
1471317,Macaca mulatta,NA,PFC,6057,A,NA,0.9,77.33,-74.55,30,236.87,21.18,33,28.82,M02_JS_D1_C11
2045707,Callithrix jacchus,F,PFC,2048,,,0.32,58.41,-58.45,30,314.86,21.19,16,107.99,A13_MM_A3_C04
5819158,Macaca fascicularis,NA,PFC,1680,NA,NA,0.85,71.51,-65.18,20,483.88,21.32,30,26.6,M04_JS_A1_C02
6536289,Macaca mulatta,NA,LIP,7812,S,3,1.3,76.43,-81.01,90,145.24,21.32,23,18.45,M12_JS_A1_C02
5579920,Macaca fascicularis,NA,PFC,3167,NA,NA,0.95,77.88,-78.55,120,222.78,21.4,2,21.37,M10_JS_A1_C21
8923103,Macaca fascicularis,NA,V1,7400,,,0.45,55.79,-67.75,50,430.65,21.4,128,99.5,M19_JS_A1_C13
