ID,Resistence,time_constant,streng_rectif,rebound_slope,nb_rebound_sp,sag,sag_ratio,rheobaseLP,burst,delay,latencyLP,meanISI,cv_ISI,adaptation1,adaptation2,peak_adaptation1,peak_adaptation2,peakLP,thresholdLP,half_width,height,fastTrough,slowTrough,nb_persistent,dur_persistence,firing_rate_2xRB,cvISIlast_2xRB,rheobase_3ms,latency,threshold,threshold2,peak,height_threshold_peak,height_peak_trough,peak_up_stroke,peak_down_stroke,peak_stroke_ratio,halfWidthTP,halfWidthPT,peakDown,trough,preview,link,Morphology
M02_SM_A6_C16,274.2767395,14.73333333,13.32763702,-0.001848662,0,13.32763702,1.17144562,110,,,8.95,,,,,,,27.46582093,-41.99218844,0.35,69.45800937,0.9,0.9,0,0,177,0.037442385,160,3.2,-47.05810652,-47.05810652,31.43310617,78.49121269,95.45898651,382.6904382,-278.9306703,-1.371991247,0.35,0.4,-278.9306703,-64.02588034,,,
M03_JS_A1_C01,237.3962455,30.04166667,11.32440211,-0.001664102,0,11.32440211,1.127705954,30,,0.610583446,90,147.4,0,,,0.90430102,,14.53552279,-44.42749123,0.5,58.96301401,1.55,1.55,0,0,5,0.187529013,195,3.35,-48.22998155,-48.22998155,15.26489292,63.49487447,80.57861508,248.2910212,-155.7617222,-1.594043887,0.5,0.65,-155.7617222,-65.31372216,,,/morphology.html?cell=M3.JS.A1.C1.swc
M03_JS_A1_C06,502.258312,17.09166667,4.003906339,-0.001412574,0,4.003906339,1.034784453,30,43.6,0.419724771,18.3,43.6,0.415181963,,,0.939073924,,33.28857496,-41.84570406,0.55,75.13427902,1.7,1.7,0,0,57,0.185011396,105,4.05,-47.61352645,-47.61352645,28.8879401,76.50146655,91.29028524,350.7080157,-162.2314489,-2.161775771,0.5,0.6,-162.2314489,-62.40234514,,,
M03_JS_A1_C18,387.0849696,25.725,4.621215924,0.000911304,0,4.621215924,1.042124507,30,45.8,0.7667789,48.8,63.64285714,0.146938901,0.017330876,1.570938215,0.904529382,-0.00549453,27.86254945,-44.63501076,0.75,72.49756021,2.5,10.8,0,0,29,0.128437392,220,3.1,-50.78125114,-50.78125114,29.8950202,80.67627133,93.85376186,286.6211002,-113.4033228,-2.52744887,0.65,0.75,-113.4033228,-63.95874166,,,
M03_MW_A1_C03,224.60938,25.49166667,6.585693507,-0.000866038,0,6.585693507,1.07818274,50,88.3,0.449877134,89.25,198.3875,0.682948998,0.310120213,8.127659574,0.978862974,-0.003370614,45.77636821,-37.96386804,1.5,83.74023625,4.1,4.1,0,0,14,0.375496497,925,3.85,-32.89794995,-32.89794995,43.24340917,76.14135912,105.7739281,192.8710981,-53.7109387,-3.590909091,1.45,1.8,-53.7109387,-62.53051898,,,
M03_MW_A1_C04,350.0366289,20,9.921875222,-0.001023483,0,9.921875222,1.096192764,50,,,90.05,,,,,,,27.0690924,-38.94043056,1.15,66.00952296,3.7,3.7,0,0,14,0.858947063,150,2.8,-50.14038198,-50.14038198,22.09472706,72.23510904,86.42578318,187.3779339,-67.13867338,-2.790909091,1.05,1.2,-67.13867338,-64.33105613,,,/morphology.html?cell=M3.MW.A4.C4.swc
M03_MW_A1_C06,248.7182673,19.90833333,4.286499119,-0.0000854,0,4.286499119,1.049746063,50,280.6,0.478617249,134.3,280.6,0.359601346,,,0.992842105,,39.97802824,-32.50122143,1.35,72.47924967,4.35,50.7,0,0,3,0.348122066,,0,,,,,,,,,,,,,,,
M03_MW_A1_C11,171.3867226,17.20833333,5.097168083,-0.000816646,0,5.097168083,1.05827416,70,230.65,0.135486668,31.25,230.65,0.906224862,,,0.963685272,,47.26562606,-52.56958125,1.15,99.83520731,4.85,20.25,0,0,15,0.182675107,450,3.8,-60.64453261,-60.64453261,25.46997127,86.11450388,109.5275903,240.9668023,-68.48144684,-3.518716578,1.3,1.5,-68.48144684,-84.05761907,,,
M03_MW_A1_C16,283.2031313,28.975,4.5267335,-0.001069846,0,4.5267335,1.052677185,30,,,71.25,,,,,,,45.97778423,-40.01464933,1.45,85.99243356,5,5.9,0,0,7,0.253848615,280,4.15,-46.3134776,-46.3134776,28.75366275,75.06714035,90.61279499,173.8281289,-53.22265744,-3.266055046,1.45,1.6,-53.22265744,-61.85913224,,,
M03_SM_A1_C02,150.5126987,18.99166667,3.329711988,-0.000273427,0,3.329711988,1.038495681,70,,,128.3,,,,,,,35.96191487,-30.74951241,0.65,66.71142727,5.05,39.7,0,0,1,,,0,,,,,,,,,,,,,,,
